researcher,role,studies,institution,lab,institution_lab,full_address,Latitude,Longitude,notes
Angeline Sin-Mei Tsui,,MB1A,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Michael C. Frank,,MB1A,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Casey Lew-Williams,,MB1A,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
,,MB1A,"Aga Khan University Institute for Human Development",,,"2nd Parklands Avenue, Nairobi, Kenya",-1.2612514,36.8170701,Add researchers names
,,MB1A,Sefako Makgatho Health Sciences University,,,"Molotlegi St, Ga-Rankuwa Zone 1, Ga-Rankuwa, 0208, South Africa",-25.6132262,27.9896045,Add researchers names
,,MB1A,"Maseno University, Main Campus (Maseno)",,,"Near Maseno Post Office,Kisumu-Busia Road,Maseno, Kisumu, Kenya",-0.0089854,34.5996809,Add researchers names
,,MB1A,University of Rwanda,,,"KK 737 St, Kigali, Rwanda",-1.9620707,30.0748506,Add researchers names
,,MB1A,Addis Ababa University,,,"Dejamach Beyene Merid St, Addis Ababa, Ethiopia",8.983482,38.753161,Add researchers names
,,MB1A,Makerere University,,,"University Rd, Kampala, Uganda",0.3326347,32.5685861,Add researchers names
,,MB1A,"University of Jos, Nigeria",,,"Jos, Nigeria",9.8965273,8.8583309,Add researchers names
,,MB1A,Busara Center for Behavioral Economics,,,"5th Floor, Daykio Plaza, Lane, Ngong Ln, Nairobi, Kenya",-1.3010649,36.7855132,Add researchers names
,,MB1A,Universite Cheikh Anta Diop (UCAD),,,"Dakar, Senegal",14.716677,-17.4676861,Add researchers names
,,MB1A,Chancellor College of the University of Malawi,,,"Zomba, Malawi",-15.3765857,35.3356518,Add researchers names
,,MB1A,Accra,,,"Accra, Ghana",5.6037168,-0.1869644,Add researchers names
Liquan Liu,,MB1B,Western Sydney University,,,"Western Sydney University, Kearney Ave, Kingswood NSW 2747, Australia",-33.7685199,150.7288547,
Connor Waddell,,MB1B,Western Sydney University,,,"Western Sydney University, Kearney Ave, Kingswood NSW 2747, Australia",-33.7685199,150.7288547,
Leher Singh,,MB1B,National University of Singapore,,,"21 Lower Kent Ridge Rd, Singapore 119077",1.2971365,103.7775268,
Megha Sundara,,MB1B,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Victoria Mateu,,MB1B,UCLA,,,"Los Angeles, CA 90095, United States",34.070264,-118.4440562,
Michael C. Frank,,MB1B,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Angeline Sin Mei Tsui,,MB1B,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Casey Lew-Williams,,MB1B,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Christine E. Potter,,MB1B,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Jessica Kosie,,MB1B,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Christopher T. Fennell,,MB1B,University of Ottawa,,,"76 Laurier Ave E, Ottawa, ON K1N 6N5, Canada",45.4244969,-75.6864737,
Krista Byers-Heinlein,,MB1B,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Meghan Mastroberardino,,MB1B,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Hilary Killam,,MB1B,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Linda Polka,,MB1B,McGill University,,,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",45.5025572,-73.5808286,
Adriel John Orena,,MB1B,McGill University,,,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",45.5025572,-73.5808286,
Shila Kerr,,MB1B,McGill University,,,"McGill University, Chemin le Serpentin, Montreal, QC H3A 1A3, Canada",45.5025572,-73.5808286,
Anja Gampe,,MB1B,University of Zurich,,,"Rämistrasse 71, 8006 Zürich, Switzerland",47.3746043,8.5488515,
Stephanie Wermelinger,,MB1B,University of Zurich,,,"Rämistrasse 71, 8006 Zürich, Switzerland",47.3746043,8.5488515,
Çgnes Melinda KovÇ­cs,,MB1B,Central European University,,,"Central European University, Budapest, Nádor u, 1051, Hungary",47.5005395,19.04958,
Maria Julia Carbajal,,MB1B,"ENS, EHESS, CNRS, PSL University",,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Naomi Havron,,MB1B,"ENS, EHESS, CNRS, PSL University",,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Anne-Caroline FiÇ¸vet,,MB1B,"ENS, EHESS, CNRS, PSL University",,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Judit Gervain,,MB1B,"Integrative Neuroscience and Cognition Center (INCC), CNRS & UniversitÇ¸ Paris Descartes",,,"Université de Paris - Site de Saint-Germain-des-Près, 45 r des Saints-Pères, 75006 Paris, France",48.8553052,2.3318301,
Caterina Marino,,MB1B,"Integrative Neuroscience and Cognition Center (INCC), CNRS & UniversitÇ¸ Paris Descartes",,,"Université de Paris - Site de Saint-Germain-des-Près, 45 r des Saints-Pères, 75006 Paris, France",48.8553052,2.3318301,
J. Kiley Hamlin,,MB1B,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Janet Werker,,MB1B,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Alexis Black,,MB1B,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Melanie Soderstrom,,MB1B,University of Manitoba,,,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",49.8075008,-97.1366259,
Kelsey Klassen,,MB1B,University of Manitoba,,,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",49.8075008,-97.1366259,
Schreiner Melanie S.,,MB1B,Max Planck Institute for Human Cognitive and Brain Sciences,,,"Stephanstraße 1a, 04103 Leipzig, Germany",51.3346436,12.3891418,
Nivedita Mani,,MB1B,University of Goettingen,,,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5340918,9.9378899,
Nayeli Gonzalez-Gomez,,MB1B,Oxford Brookes University,,,"Oxford Brookes University Gipsy Lane Site, Grays Rd, Oxford OX3 7PU, UK",51.755011,-1.224225,
Christina Bergmann,,MB1B,Max Planck Institute for Psycholinguistics,,,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",51.8179934,5.8570934,
Samantha Durrant,,MB1B,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Claire Noble,,MB1B,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Anna Brown,,MB1B,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Miko?aj Hernik,,MB1B,UiT The Arctic University of Norway,,,"UiT The Arctic University of Norway, campus Narvik, Høgskolebakken 2, 8514 Narvik, Norway",68.436098,17.434807,
Alia Martin,,MB1L,Victoria University of Wellington,,,"Victoria University of Wellington, Chancery Sq, Auckland Central, WaitematÅ½Â, New Zealand",-36.848322,174.7677,
Laura Anderson,,MB1L,Victoria University of Wellington,,,"Victoria University of Wellington, Chancery Sq, Auckland Central, WaitematÅ½Â, New Zealand",-36.848322,174.7677,
Eon-Suk Ko,,MB1L,Chosun University,,,"Chosun University, 남광주고가도로, Gwangju, 61473, South Korea",35.1414794,126.9320251,
Jessica Hay,,MB1L,"University of Tennessee, Knoxville",,,"University of Tennessee, Tce Ave, Knoxville, TN 37916, USA",35.9529465,-83.9363486,
Yana Ryjova,,MB1L,"University of Nevada, Las Vegas",,,"4506 S Maryland Pkwy, Las Vegas, NV 89154, United States",36.1065217,-115.1444487,
Jennifer L. Rennels,,MB1L,"University of Nevada, Las Vegas",,,"4507 S Maryland Pkwy, Las Vegas, NV 89154, United States",36.1065217,-115.1444487,
Karli M. Nave,,MB1L,"University of Nevada, Las Vegas",,,"4508 S Maryland Pkwy, Las Vegas, NV 89154, United States",36.1065217,-115.1444487,
Erin E. Hannon,,MB1L,"University of Nevada, Las Vegas",,,"4509 S Maryland Pkwy, Las Vegas, NV 89154, United States",36.1065217,-115.1444487,
Angeline Sin-Mei Tsui,,MB1L,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Michael C. Frank,,MB1L,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Cara Cashon,,MB1L,University of Louisville,,,"University of Louisville, Eastern Parkway, Louisville, KY 40204, USA",38.2122761,-85.7585023,
Casey Lew-Williams,,MB1L,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Christine Potter,,MB1L,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Amanda Seidl,,MB1L,Purdue University,,,"611 Purdue Mall, West Lafayette, IN 47907, United States",40.428246,-86.9143911,
Alexis K. Black,,MB1L,Haskins Laboratories,,,"300 George St #900, New Haven, CT 06511, United States",41.3048024,-72.9311075,
Krista Byers-Heinlein,Governing Board,MB1L,Concordia University CA,Concordia Infant Research Laboratory,Concordia University CA - Concordia Infant Research Laboratory,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Ana Maria Gonzalez-Barrero,,MB1L,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Krista Byers-Heinlein,,MB1L,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Anja Gampe,,MB1L,University of Zurich,,,"Rämistrasse 71, 8006 Zürich, Switzerland",47.3746043,8.5488515,
Markus Paulus,,MB1L,University of Munich,,,"Geschwister-Scholl-Platz 1, 80539 München, Germany",48.1509185,11.5798609,
Marina Kammermeier,,MB1L,University of Munich,,,"Geschwister-Scholl-Platz 1, 80539 München, Germany",48.1509185,11.5798609,
Janet F. Werker,,MB1L,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Kiley Hamlin,,MB1L,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Melanie Soderstrom,,MB1L,University of Manitoba,,,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",49.8075008,-97.1366259,
Abigail Searle,,MB1L,University of Plymouth,,,"Drake Circus, Plymouth PL4 8AA, United Kingdom",50.374697,-4.1376293,
Caroline Floccia,,MB1L,University of Plymouth,,,"Drake Circus, Plymouth PL4 8AA, United Kingdom",50.374697,-4.1376293,
Nayeli Gonzalez-Gomez,,MB1L,Oxford Brookes University,,,"Oxford Brookes University Gipsy Lane Site, Grays Rd, Oxford OX3 7PU, UK",51.755011,-1.224225,
Christina Bergmann,,MB1L,Max Planck Insitute for Psycholinguistics,,,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",51.8179934,5.8570934,
Claire Delle Luche,,MB1L,University of Essex,,,"Wivenhoe Park, Colchester CO4 3SQ, United Kingdom",51.8768245,0.9531797,
Tom Fritzsche,,MB1L,University of Potsdam,,,"Am Neuen Palais 10, 14469 Potsdam, Germany",52.4003952,13.0130902,
Claire Noble,,MB1L,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Andrew Jessop,,MB1L,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Samantha Durrant,,MB1L,University of Liverpool,,,"Liverpool L69 3BX, United Kingdom",53.4063986,-2.975554,
Catherine Davies,,MB1L,University of Leeds,,,"Woodhouse, Leeds LS2 9JT, United Kingdom",53.8079251,-1.5540873,
Barbora Skarabela,,MB1L,University of Edinburgh,,,"Old College, South Bridge, Edinburgh EH8 9YL, United Kingdom",55.9475296,-3.1864979,
Mitsuhiko Ota,,MB1L,University of Edinburgh,,,"Old College, South Bridge, Edinburgh EH8 9YL, United Kingdom",55.9475296,-3.1864979,
Julien Mayor,,MB1L,University of Oslo,,,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",59.9153582,10.7351718,
Natalia Kartushina,,MB1L,University of Oslo,,,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",59.9153582,10.7351718,
Gaye Soley,,MB1N,Bogazici University,,,"Bebek, 34342 Beşiktaş/İstanbul, Turkey",41.0777437,29.0416286,
Durier V. - Barbu S.,,MB1N,Rennes1 University,,,"263 Avenue Général Leclerc, 35700 Rennes, France",48.1143217,-1.6406784,
Melanie Soderstrom,,MB1N,University of Manitoba,,,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",49.8075008,-97.1366259,
Paula Fikkert,,MB1N,Radboud University,,,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",51.8167344,5.8649906,
Laura Hahn,,MB1N,Radboud University,,,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",51.8167344,5.8649906,
Caroline Junge,,MB1N,Utrecht University,,,"Domplein 29, 3512 JE Utrecht, Netherlands",52.0902537,5.1225664,
Claartje Levelt,,MB1N,Leiden University,,,"Leiden University, Niels Bohrweg, 2333 CD Leiden, The Netherlands",52.1696121,4.4568618,
"Kartushina N., Mayor, J.",,MB1N,University of Oslo,,,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",59.9153582,10.7351718,
"Chladkova K., Smolik F.",,MB1N,Czech Academy of Sciences,,,"Czech Academy of Sciences, Divadelní, 116 65 Prague, Czech Republic",50.0816138,14.4142,
Michael C. Frank,,MB1T,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Mohinish Shukla,,MB1T,University of Massachusetts Boston,,,"University of Massachusetts Boston, 150 Mount Vernon St, Boston, MA 02125, USA",42.3144915,-71.0373279,
Kiley Hamlin,,MB1T,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Melanie Soderstrom,,MB1T,University of Manitoba,,,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",49.8075008,-97.1366259,
Melanie S. Schreiner,,MB1T,University of Goettingen,,,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5340918,9.9378899,
Matthias Lippold,,MB1T,University of Goettingen,,,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5340918,9.9378899,
Nayeli Gonzalez-Gomez,,MB1T,Oxford Brookes University,,,"Oxford Brookes University Gipsy Lane Site, Grays Rd, Oxford OX3 7PU, UK",51.755011,-1.224225,
Christina Bergmann,,MB1T,Max Planck Insitute for Psycholinguistics,,,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",51.8179934,5.8570934,
Przemyslaw Tomalski,,MB1T,Polish Academy of Sciences,,,"Polish Academy of Sciences (former Staszic Palace), Świętokrzyska, 00-360 Warsaw, Poland",52.2378167,21.0181646,
Priya Silverstein,,MB1T,University of Surrey,,,"University of Surrey, Daphne Jackson Rd, Guildford GU2 7XH, UK",51.236974,-0.609369,
Michael C. Frank,,MB2,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Peter Joseph Reschke,,MB2,Brigham Young University,,,"Brigham Young University, Field House Dr, Provo, UT 84606, USA",40.2492507,-111.6544376,
Marlene Meyer,,MB2,University of Chicago,,,"The University of Chicago, 5801 South Ellis Ave, Chicago, IL 60637, USA",41.7886079,-87.5987133,
Tobias Schuwerk,,MB2,Ludwig Maximilian University,,,"Geschwister-Scholl-Platz 1, 80539 München, Germany",48.1509185,11.5798609,
Kiley Hamlin,Governing Board,MB2,University of British Columbia,Centre for Infant Cognition,University of British Columbia - Centre for Infant Cognition,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
J. Kiley Hamlin,,MB2,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Hannes Rakoczy,,MB2,University of Goettingen,,,"Wilhelmsplatz 1, 37073 Göttingen, Germany",51.5340918,9.9378899,
Christian K. Tamnes,,MB2,University of Oslo,,,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",59.9153582,10.7351718,
Heather L. Kosakowski,,MB2,Massachusetts Institute of Technology,,,"77 Massachusetts Ave, Cambridge, MA 02139, United States",42.3592444,-71.0931389,
Amy Lieberman,,MB2,Boston University,,,"Boston University, 975-985 Commonwealth Ave, Boston, MA 02215, USA",42.3521,-71.1197509,
Dora Kampis,,MB2,Copenhagen University,,,"Det Teologiske Fakultet, Københavns Universitet, Købmagergade, 1150 Copenhagen, Denmark",55.662148,12.588087,
Victoria Southgate,,MB2,University of Copenhagen,,,"Det Teologiske Fakultet, Københavns Universitet, Købmagergade, 1150 Copenhagen, Denmark",55.662148,12.588087,
Joscelin Rocha-Hidalgo,,MB2,Georgetown University,,,"Georgetown University, 3700 O St NW, Washington, DC 20057, USA",38.9076089,-77.0722585,
Ioana Anca Lymperopoulou,,MB2,University of SkÇôvde,,,"Högskolevägen 1, 541 28 Skövde, Sweden",58.3941677,13.8536072,
George Kachergis,,MB3,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Melissa Kline,Governing Board,MB3,Center for Open Science,,Center for Open Science - ,"210 Ridge McIntire Rd STE 500, Charlottesville, VA 22903, United States",38.0318841,-78.4841551,
Jessica Kosie,,MB3,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Mohinish Shukla,,MB3,University of Massachusetts Boston,,,"University of Massachusetts Boston, 150 Mount Vernon St, Boston, MA 02125, USA",42.3144915,-71.0373279,
Krista Byers-Heinlein,,MB3,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Clara Levelt,,MB3,Leiden University,,,"Leiden University, Niels Bohrweg, 2333 CD Leiden, The Netherlands",52.1696121,4.4568618,
Ingmar Visser,,MB3,University of Amsterdam,,,"Amsterdam University College, Carolina MacGillavrylaan, 1098 XA Amsterdam, The Netherlands",52.3549395,4.9511709,
Michael C. Frank,,MB4,Stanford University,,,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",37.4361441,-122.1768566,
Peter Joseph Reschke,,MB4,Brigham Young University,,,"Brigham Young University, Field House Dr, Provo, UT 84606, USA",40.2492507,-111.6544376,
Casey Lew-Williams,Governing Board,MB4,Princeton University,Princeton Baby Lab,Princeton University - Princeton Baby Lab,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Jonathan F. Kominsky,,MB4,Rutgers University,,,"Zimmerli Art Museum, 71 Hamilton St, New Brunswick, NJ 08901-1248, USA",40.4997532,-74.4458397,
Krista Byers-Heinlein,,MB4,Concordia University,,,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",45.4953889,-73.5781954,
Denis Tatone,,MB4,Central European University,,,"Central European University, Budapest, Nádor u, 1051, Hungary",47.5005395,19.04958,
Francis Yuen,,MB4,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Kiley Hamlin,,MB4,University of British Columbia,,,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",49.2603572,-123.2473357,
Laura Schlingloff,,MB4,Central European University,,,"Central European University, Budapest, Nádor u, 1051, Hungary",47.5005395,19.04958,
Melanie Soderstrom,,MB4,University of Manitoba,,,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",49.8075008,-97.1366259,
Arthur Capelier-Mourguy,,MB4,Lancaster University,,,"Lancaster University, Lancaster University Woodland Walk, Lancaster LA1 4XP, UK",54.0103942,-2.7877294,
Kelsey Lucca,,MB4,Arizona State University,,,"Arizona State University, South Mill Ave, Tempe, AZ 85281, USA",33.4242399,-111.9280527,
Annette M. E. Henderson,,MB4,University of Auckland,,,"University of Auckland, Alfred St, Auckland Central, Waitematā 1010, New Zealand",-36.8523378,174.7691073,
Zoe Liberman,,MB4,"University of California, Santa Barbara",,,"University of California, Santa Barbara, CA 93106, USA",34.4135868,-119.8496976,
Jessica Sommerville,,MB4,University of Toronto,,,"University of Toronto, University Ave, Toronto, ON M5S 3M2, Canada",43.6628917,-79.3956564,
Francesco Margoni,,MB4,University of Trento,,,"Former Central Library, University of Trento, V Giuseppe Verdi, 38122 Trento Territorio Val d'Adige, Italy",46.0662785,11.1168245,
Jessica Kosie,,MB5,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Casey Lew-Williams,,MB5,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Martin Zettersten,,MB5,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Christina Bergmann,,MB5,Max Planck Insitute for Psycholinguistics,,,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",51.8179934,5.8570934,