researcher,role,studies,institution,lab,institution_lab,full_address,country,continent,Latitude,Longitude,notes
MikoÂ?aj Hernik,NA,MB1B,UiT The Arctic University of Norway,NA,NA,"UiT The Arctic University of Norway, campus Narvik, HÃ¸gskolebakken 2, 8514 Narvik, Norway",Norway,Europe,68.436098,17.434807,NA
Alia Martin,NA,MB1L,Victoria University of Wellington,NA,NA,"Victoria University of Wellington, Chancery Sq, Auckland Central, WaitematÃ…Â½Ã‚Â, New Zealand",New Zealand,Oceania,-36.848322,174.7677,NA
Laura Anderson,NA,MB1L,Victoria University of Wellington,NA,NA,"Victoria University of Wellington, Chancery Sq, Auckland Central, WaitematÃ…Â½Ã‚Â, New Zealand",New Zealand,Oceania,-36.848322,174.7677,NA
Eon-Suk Ko,NA,MB1L,Chosun University,NA,NA,"Chosun University, ë‚¨ê´‘ì£¼ê³ ê°€ë„ë¡œ, Gwangju, 61473, South Korea",South Korea,Asia,35.1414794,126.9320251,NA
Jessica Hay,NA,MB1L,"University of Tennessee, Knoxville",NA,NA,"University of Tennessee, Tce Ave, Knoxville, TN 37916, USA",United States,North America,35.9529465,-83.9363486,NA
Yana Ryjova,NA,MB1L,"University of Nevada, Las Vegas",NA,NA,"4506 S Maryland Pkwy, Las Vegas, NV 89154, United States",United States,North America,36.1065217,-115.1444487,NA
Jennifer L. Rennels,NA,MB1L,"University of Nevada, Las Vegas",NA,NA,"4507 S Maryland Pkwy, Las Vegas, NV 89154, United States",United States,North America,36.1065217,-115.1444487,NA
Karli M. Nave,NA,MB1L,"University of Nevada, Las Vegas",NA,NA,"4508 S Maryland Pkwy, Las Vegas, NV 89154, United States",United States,North America,36.1065217,-115.1444487,NA
Erin E. Hannon,NA,MB1L,"University of Nevada, Las Vegas",NA,NA,"4509 S Maryland Pkwy, Las Vegas, NV 89154, United States",United States,North America,36.1065217,-115.1444487,NA
Angeline Sin-Mei Tsui,NA,MB1L,Stanford University,NA,NA,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Michael C. Frank,NA,MB1L,Stanford University,NA,NA,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Cara Cashon,NA,MB1L,University of Louisville,NA,NA,"University of Louisville, Eastern Parkway, Louisville, KY 40204, USA",United States,North America,38.2122761,-85.7585023,NA
Casey Lew-Williams,NA,MB1L,Princeton University,NA,NA,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Christine Potter,NA,MB1L,Princeton University,NA,NA,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Amanda Seidl,NA,MB1L,Purdue University,NA,NA,"611 Purdue Mall, West Lafayette, IN 47907, United States",United States,North America,40.428246,-86.9143911,NA
Alexis K. Black,NA,MB1L,Haskins Laboratories,NA,NA,"300 George St #900, New Haven, CT 06511, United States",United States,North America,41.3048024,-72.9311075,NA
Krista Byers-Heinlein,Governing Board,MB1L,Concordia University CA,Concordia Infant Research Laboratory,Concordia University CA - Concordia Infant Research Laboratory,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",Canada,North America,45.4953889,-73.5781954,NA
Ana Maria Gonzalez-Barrero,NA,MB1L,Concordia University,NA,NA,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",Canada,North America,45.4953889,-73.5781954,NA
Krista Byers-Heinlein,NA,MB1L,Concordia University,NA,NA,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",Canada,North America,45.4953889,-73.5781954,NA
Anja Gampe,NA,MB1L,University of Zurich,NA,NA,"RÃ¤mistrasse 71, 8006 ZÃ¼rich, Switzerland",Switzerland,Europe,47.3746043,8.5488515,NA
Markus Paulus,NA,MB1L,University of Munich,NA,NA,"Geschwister-Scholl-Platz 1, 80539 MÃ¼nchen, Germany",Germany,Europe,48.1509185,11.5798609,NA
Marina Kammermeier,NA,MB1L,University of Munich,NA,NA,"Geschwister-Scholl-Platz 1, 80539 MÃ¼nchen, Germany",Germany,Europe,48.1509185,11.5798609,NA
Janet F. Werker,NA,MB1L,University of British Columbia,NA,NA,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
Kiley Hamlin,NA,MB1L,University of British Columbia,NA,NA,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
Melanie Soderstrom,NA,MB1L,University of Manitoba,NA,NA,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",Canada,North America,49.8075008,-97.1366259,NA
Abigail Searle,NA,MB1L,University of Plymouth,NA,NA,"Drake Circus, Plymouth PL4 8AA, United Kingdom",United Kingdom,Europe,50.374697,-4.1376293,NA
Caroline Floccia,NA,MB1L,University of Plymouth,NA,NA,"Drake Circus, Plymouth PL4 8AA, United Kingdom",United Kingdom,Europe,50.374697,-4.1376293,NA
Nayeli Gonzalez-Gomez,NA,MB1L,Oxford Brookes University,NA,NA,"Oxford Brookes University Gipsy Lane Site, Grays Rd, Oxford OX3 7PU, UK",United Kingdom,Europe,51.755011,-1.224225,NA
Christina Bergmann,NA,MB1L,Max Planck Insitute for Psycholinguistics,NA,NA,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",The Netherlands,Europe,51.8179934,5.8570934,NA
Claire Delle Luche,NA,MB1L,University of Essex,NA,NA,"Wivenhoe Park, Colchester CO4 3SQ, United Kingdom",United Kingdom,Europe,51.8768245,0.9531797,NA
Tom Fritzsche,NA,MB1L,University of Potsdam,NA,NA,"Am Neuen Palais 10, 14469 Potsdam, Germany",Germany,Europe,52.4003952,13.0130902,NA
Claire Noble,NA,MB1L,University of Liverpool,NA,NA,"Liverpool L69 3BX, United Kingdom",United Kingdom,Europe,53.4063986,-2.975554,NA
Andrew Jessop,NA,MB1L,University of Liverpool,NA,NA,"Liverpool L69 3BX, United Kingdom",United Kingdom,Europe,53.4063986,-2.975554,NA
Samantha Durrant,NA,MB1L,University of Liverpool,NA,NA,"Liverpool L69 3BX, United Kingdom",United Kingdom,Europe,53.4063986,-2.975554,NA
Catherine Davies,NA,MB1L,University of Leeds,NA,NA,"Woodhouse, Leeds LS2 9JT, United Kingdom",United Kingdom,Europe,53.8079251,-1.5540873,NA
Barbora Skarabela,NA,MB1L,University of Edinburgh,NA,NA,"Old College, South Bridge, Edinburgh EH8 9YL, United Kingdom",United Kingdom,Europe,55.9475296,-3.1864979,NA
Mitsuhiko Ota,NA,MB1L,University of Edinburgh,NA,NA,"Old College, South Bridge, Edinburgh EH8 9YL, United Kingdom",United Kingdom,Europe,55.9475296,-3.1864979,NA
Julien Mayor,NA,MB1L,University of Oslo,NA,NA,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",Norway,Europe,59.9153582,10.7351718,NA
Natalia Kartushina,NA,MB1L,University of Oslo,NA,NA,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",Norway,Europe,59.9153582,10.7351718,NA
Gaye Soley,NA,MB1N,Bogazici University,NA,NA,"Bebek, 34342 BeÅŸiktaÅŸ/Ä°stanbul, Turkey",Turkey,Asia,41.0777437,29.0416286,NA
Durier V. - Barbu S.,NA,MB1N,Rennes1 University,NA,NA,"263 Avenue GÃ©nÃ©ral Leclerc, 35700 Rennes, France",France,Europe,48.1143217,-1.6406784,NA
Melanie Soderstrom,NA,MB1N,University of Manitoba,NA,NA,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",Canada,North America,49.8075008,-97.1366259,NA
Paula Fikkert,NA,MB1N,Radboud University,NA,NA,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",Netherlands,Europe,51.8167344,5.8649906,NA
Laura Hahn,NA,MB1N,Radboud University,NA,NA,"Houtlaan 4, 6525 XZ Nijmegen, Netherlands",Netherlands,Europe,51.8167344,5.8649906,NA
Caroline Junge,NA,MB1N,Utrecht University,NA,NA,"Domplein 29, 3512 JE Utrecht, Netherlands",Netherlands,Europe,52.0902537,5.1225664,NA
Claartje Levelt,NA,MB1N,Leiden University,NA,NA,"Leiden University, Niels Bohrweg, 2333 CD Leiden, The Netherlands",The Netherlands,Europe,52.1696121,4.4568618,NA
"Kartushina N., Mayor, J.",NA,MB1N,University of Oslo,NA,NA,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",Norway,Europe,59.9153582,10.7351718,NA
"Chladkova K., Smolik F.",NA,MB1N,Czech Academy of Sciences,NA,NA,"Czech Academy of Sciences, DivadelnÃ­, 116 65 Prague, Czech Republic",Czech Republic,Europe,50.0816138,14.4142,NA
Michael C. Frank,NA,MB1T,Stanford University,NA,NA,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Mohinish Shukla,NA,MB1T,University of Massachusetts Boston,NA,NA,"University of Massachusetts Boston, 150 Mount Vernon St, Boston, MA 02125, USA",United States,North America,42.3144915,-71.0373279,NA
Kiley Hamlin,NA,MB1T,University of British Columbia,NA,NA,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
Melanie Soderstrom,NA,MB1T,University of Manitoba,NA,NA,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",Canada,North America,49.8075008,-97.1366259,NA
Melanie S. Schreiner,NA,MB1T,University of Goettingen,NA,NA,"Wilhelmsplatz 1, 37073 GÃ¶ttingen, Germany",Germany,Europe,51.5340918,9.9378899,NA
Matthias Lippold,NA,MB1T,University of Goettingen,NA,NA,"Wilhelmsplatz 1, 37073 GÃ¶ttingen, Germany",Germany,Europe,51.5340918,9.9378899,NA
Nayeli Gonzalez-Gomez,NA,MB1T,Oxford Brookes University,NA,NA,"Oxford Brookes University Gipsy Lane Site, Grays Rd, Oxford OX3 7PU, UK",United Kingdom,Europe,51.755011,-1.224225,NA
Christina Bergmann,NA,MB1T,Max Planck Insitute for Psycholinguistics,NA,NA,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",The Netherlands,Europe,51.8179934,5.8570934,NA
Przemyslaw Tomalski,NA,MB1T,Polish Academy of Sciences,NA,NA,"Polish Academy of Sciences (former Staszic Palace), ÅšwiÄ™tokrzyska, 00-360 Warsaw, Poland",Poland,Europe,52.2378167,21.0181646,NA
Priya Silverstein,NA,MB1T,University of Surrey,NA,NA,"University of Surrey, Daphne Jackson Rd, Guildford GU2 7XH, UK",United Kingdom,Europe,51.236974,-0.609369,NA
Michael C. Frank,NA,MB2,Stanford University,NA,NA,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Peter Joseph Reschke,NA,MB2,Brigham Young University,NA,NA,"Brigham Young University, Field House Dr, Provo, UT 84606, USA",United States,North America,40.2492507,-111.6544376,NA
Marlene Meyer,NA,MB2,University of Chicago,NA,NA,"The University of Chicago, 5801 South Ellis Ave, Chicago, IL 60637, USA",United States,North America,41.7886079,-87.5987133,NA
Tobias Schuwerk,NA,MB2,Ludwig Maximilian University,NA,NA,"Geschwister-Scholl-Platz 1, 80539 MÃ¼nchen, Germany",Germany,Europe,48.1509185,11.5798609,NA
Kiley Hamlin,Governing Board,MB2,University of British Columbia,Centre for Infant Cognition,University of British Columbia - Centre for Infant Cognition,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
J. Kiley Hamlin,NA,MB2,University of British Columbia,NA,NA,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
Hannes Rakoczy,NA,MB2,University of Goettingen,NA,NA,"Wilhelmsplatz 1, 37073 GÃ¶ttingen, Germany",Germany,Europe,51.5340918,9.9378899,NA
Christian K. Tamnes,NA,MB2,University of Oslo,NA,NA,"University of Oslo, Henrik Ibsens gate, 0120 Oslo, Norway",Norway,Europe,59.9153582,10.7351718,NA
Heather L. Kosakowski,NA,MB2,Massachusetts Institute of Technology,NA,NA,"77 Massachusetts Ave, Cambridge, MA 02139, United States",United States,North America,42.3592444,-71.0931389,NA
Amy Lieberman,NA,MB2,Boston University,NA,NA,"Boston University, 975-985 Commonwealth Ave, Boston, MA 02215, USA",United States,North America,42.3521,-71.1197509,NA
Dora Kampis,NA,MB2,Copenhagen University,NA,NA,"Det Teologiske Fakultet, KÃ¸benhavns Universitet, KÃ¸bmagergade, 1150 Copenhagen, Denmark",Denmark,Europe,55.662148,12.588087,NA
Victoria Southgate,NA,MB2,University of Copenhagen,NA,NA,"Det Teologiske Fakultet, KÃ¸benhavns Universitet, KÃ¸bmagergade, 1150 Copenhagen, Denmark",Denmark,Europe,55.662148,12.588087,NA
Joscelin Rocha-Hidalgo,NA,MB2,Georgetown University,NA,NA,"Georgetown University, 3700 O St NW, Washington, DC 20057, USA",United States,North America,38.9076089,-77.0722585,NA
Ioana Anca Lymperopoulou,NA,MB2,University of SkÃ‡Ã´vde,NA,NA,"HÃ¶gskolevÃ¤gen 1, 541 28 SkÃ¶vde, Sweden",Sweden,Europe,58.3941677,13.8536072,NA
George Kachergis,NA,MB3,Stanford University,NA,NA,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Melissa Kline,Governing Board,MB3,Center for Open Science,NA,Center for Open Science -,"210 Ridge McIntire Rd STE 500, Charlottesville, VA 22903, United States",United States,North America,38.0318841,-78.4841551,NA
Jessica Kosie,NA,MB3,Princeton University,NA,NA,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Mohinish Shukla,NA,MB3,University of Massachusetts Boston,NA,NA,"University of Massachusetts Boston, 150 Mount Vernon St, Boston, MA 02125, USA",United States,North America,42.3144915,-71.0373279,NA
Krista Byers-Heinlein,NA,MB3,Concordia University,NA,NA,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",Canada,North America,45.4953889,-73.5781954,NA
Clara Levelt,NA,MB3,Leiden University,NA,NA,"Leiden University, Niels Bohrweg, 2333 CD Leiden, The Netherlands",The Netherlands,Europe,52.1696121,4.4568618,NA
Ingmar Visser,NA,MB3,University of Amsterdam,NA,NA,"Amsterdam University College, Carolina MacGillavrylaan, 1098 XA Amsterdam, The Netherlands",The Netherlands,Europe,52.3549395,4.9511709,NA
Michael C. Frank,NA,MB4,Stanford University,NA,NA,"Stanford University, Blake Wilbur Dr, Palo Alto, CA 94305-6015, USA",United States,North America,37.4361441,-122.1768566,NA
Peter Joseph Reschke,NA,MB4,Brigham Young University,NA,NA,"Brigham Young University, Field House Dr, Provo, UT 84606, USA",United States,North America,40.2492507,-111.6544376,NA
Casey Lew-Williams,Governing Board,MB4,Princeton University,Princeton Baby Lab,Princeton University - Princeton Baby Lab,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Jonathan F. Kominsky,NA,MB4,Rutgers University,NA,NA,"Zimmerli Art Museum, 71 Hamilton St, New Brunswick, NJ 08901-1248, USA",United States,North America,40.4997532,-74.4458397,NA
Krista Byers-Heinlein,NA,MB4,Concordia University,NA,NA,"FOFA Gallery, 1515 r Ste-Catherine Ouest, Montreal, QC H3H 2T2, Canada",Canada,North America,45.4953889,-73.5781954,NA
Denis Tatone,NA,MB4,Central European University,NA,NA,"Central European University, Budapest, NÃ¡dor u, 1051, Hungary",Hungary,Europe,47.5005395,19.04958,NA
Francis Yuen,NA,MB4,University of British Columbia,NA,NA,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
Kiley Hamlin,NA,MB4,University of British Columbia,NA,NA,"University of British Columbia, Sopron Lane, University Endowment Lands, BC V6T 1L9, Canada",Canada,North America,49.2603572,-123.2473357,NA
Laura Schlingloff,NA,MB4,Central European University,NA,NA,"Central European University, Budapest, NÃ¡dor u, 1051, Hungary",Hungary,Europe,47.5005395,19.04958,NA
Melanie Soderstrom,NA,MB4,University of Manitoba,NA,NA,"University of Manitoba, Normand Park Dr, Winnipeg, MB R3T 2S9, Canada",Canada,North America,49.8075008,-97.1366259,NA
Arthur Capelier-Mourguy,NA,MB4,Lancaster University,NA,NA,"Lancaster University, Lancaster University Woodland Walk, Lancaster LA1 4XP, UK",United Kingdom,Europe,54.0103942,-2.7877294,NA
Kelsey Lucca,NA,MB4,Arizona State University,NA,NA,"Arizona State University, South Mill Ave, Tempe, AZ 85281, USA",United States,North America,33.4242399,-111.9280527,NA
Annette M. E. Henderson,NA,MB4,University of Auckland,NA,NA,"University of Auckland, Alfred St, Auckland Central, WaitematÄ 1010, New Zealand",New Zealand,Oceania,-36.8523378,174.7691073,NA
Zoe Liberman,NA,MB4,"University of California, Santa Barbara",NA,NA,"University of California, Santa Barbara, CA 93106, USA",United States,North America,34.4135868,-119.8496976,NA
Jessica Sommerville,NA,MB4,University of Toronto,NA,NA,"University of Toronto, University Ave, Toronto, ON M5S 3M2, Canada",Canada,North America,43.6628917,-79.3956564,NA
Francesco Margoni,NA,MB4,University of Trento,NA,NA,"Former Central Library, University of Trento, V Giuseppe Verdi, 38122 Trento Territorio Val d'Adige, Italy",Italy,Europe,46.0662785,11.1168245,NA
Jessica Kosie,NA,MB5,Princeton University,NA,NA,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Casey Lew-Williams,NA,MB5,Princeton University,NA,NA,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Martin Zettersten,NA,MB5,Princeton University,NA,NA,"Princeton University, Alexander St, Princeton, NJ 08540, USA",United States,North America,40.3430942,-74.6550739,NA
Christina Bergmann,NA,MB5,Max Planck Insitute for Psycholinguistics,NA,NA,"Max Planck Institute for Psycholinguistics, Comeniuslaan, 6525 XD Nijmegen, The Netherlands",The Netherlands,Europe,51.8179934,5.8570934,NA
